Date,20211116_145058_0242
Motor Name,desk
Record ID, Time(ms), X-Accel, Y-Accel, Z-Accel, Motor Speed
1,250,0.1392198,0.134216,0.1336601,0
2,500,0.109649,0.1438945,0.1494296,0
3,750,0.11267193,0.10874329,0.1596595,0
4,1000,0.1349739,0.11269276,0.12076685,0
5,1250,0.1649872,0.11910743,0.1462619,0
6,1500,0.11251548,0.11658985,0.12097121,0
7,1750,0.10508904,0.1318075,0.126953,0
8,2000,0.11688466,0.10758407,0.1496586,0
9,2250,0.1404822,0.1420886,0.1378387,0
10,2500,0.1409745,0.1188195,0.1527788,0
11,2750,0.11180234,0.12295221,0.1318359,0
12,3000,0.1836212,0.1334449,0.10600298,0
13,3250,0.11145591,0.1486106,0.1481117,0
14,3500,0.1170884,0.188004,0.1413131,0
15,3750,0.09882862,0.1404011,0.1393197,0
16,4000,0.132371,0.1251565,0.1611793,0
17,4250,0.1538042,0.1300319,0.1765923,0
18,4500,0.136398,0.12486769,0.132443,0
19,4750,0.11284253,0.1276891,0.1473211,0
20,5000,0.11372904,0.1415961,0.1315881,0
21,5250,0.138645,0.134595,0.1437987,0
22,5500,0.10438079,0.1539534,0.1562921,0
23,5750,0.10459082,0.09753242,0.12385368,0
24,6000,0.1448864,0.11959577,0.1470919,0
25,6250,0.1497258,0.1334593,0.1331723,0
26,6500,0.12093401,0.1612397,0.1052587,0
27,6750,0.12211245,0.142433,0.1362882,0
28,7000,0.1501145,0.1307069,0.1555186,0
29,7250,0.12356474,0.11295812,0.11678591,0
30,7500,0.1266766,0.1328673,0.1489855,0
31,7750,0.10847287,0.148642,0.130481,0
32,8000,0.1352352,0.12001389,0.1719964,0
33,8250,0.1396563,0.1408446,0.11591692,0
34,8500,0.1403668,0.11903068,0.1636762,0
35,8750,0.1434464,0.08877023,0.1590254,0
36,9000,0.126288,0.11941201,0.1805699,0
37,9250,0.10006554,0.1544581,0.1252823,0
38,9500,0.12457986,0.11869948,0.1135561,0
39,9750,0.11744691,0.1582504,0.1251546,0
40,10000,0.1855744,0.10017372,0.151415,0
41,10250,0.11935523,0.130604,0.125759,0
42,10500,0.1397122,0.1542018,0.1465905,0
43,10750,0.1507944,0.1555252,0.1607668,0
44,11000,0.1376758,0.1294469,0.12474178,0
45,11250,0.1295505,0.1520411,0.1318954,0
46,11500,0.1383696,0.1615086,0.1490085,0
47,11750,0.10579017,0.12340707,0.1502636,0
48,12000,0.1181895,0.1565466,0.1642248,0
49,12250,0.1481833,0.1616182,0.1652073,0
50,12500,0.1540957,0.1313698,0.1331358,0
51,12750,0.1384799,0.1544134,0.10884108,0
52,13000,0.1443882,0.1527383,0.1785313,0
53,13250,0.1233274,0.1590198,0.1302888,0
54,13500,0.1518007,0.1603921,0.1466302,0
55,13750,0.1333392,0.10255664,0.10651785,0
56,14000,0.146599,0.11317841,0.10707534,0
57,14250,0.11588325,0.1663021,0.1350854,0
58,14500,0.1393951,0.11594487,0.1325437,0
59,14750,0.12337255,0.1272773,0.11152496,0
60,15000,0.12352144,0.12456827,0.1647725,0
61,15250,0.10980657,0.10294525,0.10912647,0
62,15500,0.1340748,0.11483416,0.1306666,0
63,15750,0.12455954,0.1480593,0.1315599,0
64,16000,0.12159757,0.12458901,0.1384482,0
65,16250,0.11274243,0.1366781,0.1333478,0
66,16500,0.1269506,0.1625397,0.155929,0
67,16750,0.138891,0.1477623,0.1564867,0
68,17000,0.1467623,0.1416476,0.10054508,0
69,17250,0.1331337,0.11428044,0.1681952,0
70,17500,0.1677686,0.1517026,0.1527226,0
71,17750,0.12359887,0.1337954,0.1714276,0
72,18000,0.1527027,0.1297573,0.11013789,0
73,18250,0.1362846,0.1339137,0.11919045,0
74,18500,0.11675581,0.1076114,0.1422072,0
75,18750,0.1690771,0.1311832,0.1634017,0
76,19000,0.1539888,0.1270682,0.12136789,0
77,19250,0.154456,0.1358194,0.10808749,0
78,19500,0.1263436,0.1557661,0.10467973,0
79,19750,0.1357756,0.1323008,0.1299927,0
80,20000,0.1437997,0.10908983,0.1377738,0
81,20250,0.11823221,0.1316553,0.11210576,0
82,20500,0.12197635,0.1495524,0.1300865,0
83,20750,0.11587413,0.12367982,0.1412656,0
84,21000,0.1415637,0.10550293,0.1503499,0
85,21250,0.12267381,0.1399598,0.1380866,0
86,21500,0.1468261,0.1273853,0.1389109,0
87,21750,0.1289555,0.10449756,0.1296601,0
88,22000,0.1097145,0.1335435,0.12181596,0
89,22250,0.1418997,0.1348429,0.1379536,0
90,22500,0.1492237,0.10491956,0.10359178,0
91,22750,0.1377427,0.1410672,0.1290936,0
92,23000,0.134819,0.1348869,0.12498356,0
93,23250,0.1416407,0.1411351,0.1361608,0
94,23500,0.1742925,0.12325216,0.1434039,0
95,23750,0.1341239,0.1278948,0.1327581,0
96,24000,0.1430179,0.1412738,0.162348,0
97,24250,0.1663182,0.1712459,0.1378946,0
98,24500,0.1744536,0.1424378,0.12033428,0
99,24750,0.2003212,0.127536,0.1415821,0
100,25000,0.1274815,0.11478285,0.1517349,0
101,25250,0.11704236,0.1222736,0.11596631,0
102,25500,0.1299067,0.1397519,0.12213852,0
103,25750,0.11557133,0.1571788,0.1268949,0
104,26000,0.1524477,0.1409613,0.1434439,0
105,26250,0.1397664,0.140658,0.12255448,0
106,26500,0.1865343,0.1517278,0.1726965,0
107,26750,0.1427667,0.1510903,0.1487162,0
108,27000,0.164259,0.1278755,0.11617197,0
109,27250,0.10432298,0.11711609,0.1741659,0
110,27500,0.1654426,0.1754164,0.12009037,0
111,27750,0.08484408,0.11247039,0.1402518,0
112,28000,0.1398914,0.11407387,0.1259349,0
113,28250,0.11688008,0.12445199,0.1249296,0
114,28500,0.1267166,0.11057242,0.12368456,0
115,28750,0.11896154,0.11351132,0.1273383,0
116,29000,0.1396335,0.12428817,0.1333366,0
117,29250,0.1310426,0.147652,0.1312528,0
118,29500,0.1308985,0.10941386,0.1440708,0
119,29750,0.1310808,0.1367738,0.1439782,0
120,30000,0.1518932,0.12308045,0.1474125,0
121,30250,0.12089823,0.12305582,0.1306501,0
122,30500,0.11662957,0.11128967,0.1319975,0
123,30750,0.11196873,0.1253667,0.1407988,0
124,31000,0.1478326,0.1590486,0.1594166,0
125,31250,0.10211596,0.11678078,0.134161,0
126,31500,0.1708607,0.1350831,0.1343837,0
127,31750,0.1495768,0.1292691,0.10884453,0
128,32000,0.11525751,0.1631633,0.1187035,0
129,32250,0.12388542,0.1448011,0.1437339,0
130,32500,0.11599548,0.11977984,0.177035,0
131,32750,0.1527394,0.1693898,0.1462455,0
132,33000,0.1689768,0.11041129,0.1615674,0
133,33250,0.137139,0.1797523,0.1283928,0
134,33500,0.1373107,0.1540264,0.1697776,0
135,33750,0.1395061,0.1301116,0.1306513,0
136,34000,0.1485478,0.11141718,0.1923672,0
137,34250,0.1438284,0.1722336,0.1403114,0
138,34500,0.1381744,0.10477238,0.1500955,0
139,34750,0.1382956,0.11700572,0.1483396,0
140,35000,0.1682921,0.11394494,0.11021761,0
141,35250,0.1554986,0.12183046,0.1333701,0
142,35500,0.1458185,0.1290289,0.1442308,0
143,35750,0.1565169,0.1655731,0.1430338,0
144,36000,0.1343487,0.1287843,0.1297391,0
145,36250,0.1286964,0.1320296,0.1504102,0
146,36500,0.1341603,0.1312833,0.1361244,0
147,36750,0.1603907,0.1566652,0.1459779,0
148,37000,0.1531837,0.09862068,0.1425144,0
149,37250,0.11686893,0.1635384,0.1608778,0
150,37500,0.130427,0.1355933,0.1272739,0
151,37750,0.1388688,0.1475333,0.1268387,0
152,38000,0.12424621,0.1321941,0.17819,0
153,38250,0.11295017,0.1491189,0.1194098,0
154,38500,0.12011431,0.1487264,0.1335286,0
155,38750,0.142577,0.11960341,0.11633003,0
156,39000,0.1710852,0.1319583,0.1523703,0
157,39250,0.11381772,0.1511653,0.1309162,0
158,39500,0.1285254,0.11404324,0.1398451,0
159,39750,0.1440798,0.1329819,0.11983844,0
160,40000,0.10649502,0.152891,0.10842336,0
161,40250,0.1348434,0.12451551,0.12280508,0
162,40500,0.1317635,0.1399569,0.1546317,0
163,40750,0.1309259,0.1406017,0.1343522,0
164,41000,0.10283948,0.1313285,0.132452,0
165,41250,0.136849,0.11148953,0.1329165,0
166,41500,0.1344208,0.127422,0.1345315,0
167,41750,0.1770319,0.1302543,0.10497878,0
168,42000,0.1119151,0.1629477,0.1368907,0
169,42250,0.1570834,0.1501483,0.1575091,0
170,42500,0.11271325,0.1204331,0.1394133,0
171,42750,0.11658063,0.1414472,0.1376339,0
172,43000,0.11867625,0.12333283,0.11395504,0
173,43250,0.11888185,0.1927448,0.12382542,0
174,43500,0.1527135,0.1282265,0.1801553,0
175,43750,0.1544349,0.1724165,0.1343909,0
176,44000,0.1291548,0.1644083,0.1282789,0
177,44250,0.1750268,0.1557636,0.1482379,0
178,44500,0.1732458,0.1591594,0.1390975,0
179,44750,0.1386027,0.1710547,0.1401203,0
180,45000,0.1458996,0.1541862,0.1498103,0
181,45250,0.1582441,0.1540617,0.1590172,0
182,45500,0.1807892,0.1493964,0.1491602,0
183,45750,0.1517049,0.15886,0.1706559,0
184,46000,0.2037609,0.1259662,0.12471577,0
185,46250,0.1431874,0.1492527,0.1572946,0
186,46500,0.1741366,0.146163,0.1588531,0
187,46750,0.1673884,0.1531894,0.1304361,0
188,47000,0.1435301,0.1464659,0.1455689,0
189,47250,0.1632152,0.146515,0.145181,0
190,47500,0.12217309,0.11025629,0.1433713,0
191,47750,0.1437802,0.170528,0.1571853,0
192,48000,0.1315082,0.1489693,0.1365854,0
193,48250,0.1674495,0.1443088,0.1438772,0
194,48500,0.1475341,0.10640712,0.1306335,0
195,48750,0.1398742,0.1346349,0.11744561,0
196,49000,0.1404281,0.10623541,0.11553784,0
197,49250,0.1264398,0.1662859,0.1495792,0
198,49500,0.1373139,0.11516348,0.1421676,0
199,49750,0.1515785,0.1660722,0.1506109,0
200,50000,0.152304,0.1382447,0.1430615,0
201,50250,0.1134235,0.1428274,0.1281766,0
202,50500,0.08625948,0.1273495,0.11802114,0
203,50750,0.12193361,0.1268146,0.11134049,0
204,51000,0.1329714,0.1180493,0.1374316,0
205,51250,0.1526901,0.1755652,0.1384962,0
206,51500,0.1373233,0.135363,0.12294311,0
207,51750,0.12467673,0.11450207,0.12337585,0
208,52000,0.1396228,0.1456005,0.174846,0
209,52250,0.1278272,0.1277212,0.1327058,0
210,52500,0.1456749,0.1502619,0.1527551,0
211,52750,0.1431414,0.1772489,0.1391421,0
212,53000,0.1424611,0.1452785,0.14325,0
213,53250,0.1415701,0.11107591,0.1114469,0
214,53500,0.1324362,0.11703505,0.1541329,0
215,53750,0.1788586,0.1617972,0.12341604,0
216,54000,0.1644404,0.1535875,0.11632667,0
217,54250,0.1807101,0.1298982,0.1601271,0
218,54500,0.1797755,0.1708009,0.137342,0
219,54750,0.1405863,0.1868125,0.1504152,0
220,55000,0.1376575,0.1825989,0.1414864,0
221,55250,0.1636226,0.1576042,0.1436699,0
222,55500,0.1494684,0.1554366,0.1574135,0
223,55750,0.1789152,0.1654951,0.11590794,0
224,56000,0.1855815,0.1550228,0.1703341,0
225,56250,0.1340782,0.1339669,0.1620071,0
226,56500,0.1673113,0.1728441,0.1598159,0
227,56750,0.1811656,0.1259526,0.1490705,0
228,57000,0.1402705,0.1504811,0.1498416,0
229,57250,0.1296212,0.1761448,0.1690109,0
230,57500,0.1473233,0.1410825,0.1401811,0
231,57750,0.11910422,0.1805973,0.1481045,0
232,58000,0.1383548,0.2271532,0.1366205,0
233,58250,0.1381714,0.167776,0.1416619,0
234,58500,0.1627752,0.1542861,0.1549316,0
235,58750,0.1764011,0.1777907,0.1693181,0
236,59000,0.1375649,0.1727276,0.1301633,0
237,59250,0.1354621,0.1443571,0.1347364,0
238,59500,0.1249503,0.1431992,0.12269539,0
239,59750,0.1492421,0.1444006,0.11797032,0
240,60000,0.1637511,0.1400966,0.1453415,0
241,60250,0.1612435,0.1438298,0.1506701,0
242,60500,0.1813663,0.1641618,0.12330541,0
243,60750,0.1489784,0.1334305,0.1404325,0
244,61000,0.137179,0.15509,0.1331678,0
245,61250,0.1783411,0.153438,0.1374352,0
246,61500,0.1497414,0.142668,0.1580404,0
247,61750,0.1341417,0.1383145,0.1306623,0
248,62000,0.11700372,0.12052696,0.1470077,0
249,62250,0.2240771,0.2716596,0.1546692,0
250,62500,0.165213,0.132244,0.1588343,0
251,62750,0.1529299,0.180792,0.1555335,0
252,63000,0.141942,0.12404355,0.1758945,0
253,63250,0.1452513,0.1567169,0.1623084,0
254,63500,0.1676354,0.1332976,0.14161,0
255,63750,0.1741127,0.1386982,0.1789092,0
256,64000,0.1634255,0.1694106,0.1401515,0
257,64250,0.1588312,0.1316732,0.1523023,0
258,64500,0.1516479,0.1599055,0.1492933,0
259,64750,0.1448285,0.1464029,0.11552621,0
260,65000,0.11923598,0.1454364,0.1268338,0
261,65250,0.1334653,0.1585915,0.1690975,0
262,65500,0.12318323,0.1612817,0.1478344,0
263,65750,0.1679303,0.1688487,0.1675537,0
264,66000,0.1449361,0.1828798,0.11898844,0
265,66250,0.1486402,0.1892298,0.1739142,0
266,66500,0.1630624,0.1580784,0.1597472,0
267,66750,0.1330116,0.1702295,0.1290974,0
268,67000,0.12018309,0.1743178,0.1671175,0
269,67250,0.1612746,0.163363,0.1310573,0
270,67500,0.1415657,0.1640342,0.1395759,0
271,67750,0.1425492,0.1530624,0.1720108,0
272,68000,0.129538,0.1549188,0.1342947,0
273,68250,0.1582625,0.1746662,0.1419703,0
274,68500,0.145113,0.1685954,0.1486982,0
275,68750,0.1324928,0.1381592,0.1391874,0
276,69000,0.1477006,0.1524198,0.2148369,0
277,69250,0.1533279,0.1485511,0.11808867,0
278,69500,0.1357248,0.1469408,0.1407348,0
279,69750,0.1478059,0.1347709,0.1416372,0
280,70000,0.11011748,0.1505731,0.11756222,0
281,70250,0.120851,0.1321825,0.133253,0
282,70500,0.1371123,0.1776383,0.1154665,0
283,70750,0.1404786,0.1505472,0.1374597,0
284,71000,0.12261559,0.1466787,0.1277076,0
285,71250,0.1441564,0.1360889,0.1285657,0
286,71500,0.12175614,0.127155,0.1615597,0
287,71750,0.11464585,0.12084973,0.1339826,0
288,72000,0.11591706,0.12012475,0.1294909,0
289,72250,0.1470223,0.1235368,0.1293026,0
290,72500,0.1764683,0.1267653,0.12186962,0
291,72750,0.1431542,0.1482508,0.1274507,0
292,73000,0.1402584,0.09843427,0.131993,0
293,73250,0.1351136,0.1264807,0.1577749,0
294,73500,0.1455829,0.1385694,0.1294186,0
295,73750,0.1457353,0.1377518,0.1423624,0
296,74000,0.143497,0.1274265,0.125404,0
297,74250,0.1277452,0.1290138,0.1369828,0
298,74500,0.1301626,0.11292894,0.11921515,0
299,74750,0.1341091,0.1351928,0.1493875,0
300,75000,0.09241706,0.1383074,0.1462828,0
301,75250,0.1500424,0.1357876,0.1484016,0
302,75500,0.10889712,0.1310384,0.1286568,0
303,75750,0.1359802,0.10956705,0.12219054,0
304,76000,0.1301914,0.11649883,0.11326466,0
305,76250,0.11251336,0.1442051,0.1426713,0
306,76500,0.1396103,0.1185353,0.1395483,0
307,76750,0.148003,0.1355462,0.1332128,0
308,77000,0.2329385,0.2736411,1.560058,0
309,77250,0.181223,0.1634924,0.1450591,0
310,77500,0.2234485,0.3528119,1.850532,0
311,77750,0.1618199,0.1598623,0.1361948,0
312,78000,0.158287,0.1441763,0.1291712,0
313,78250,0.1349278,0.1473052,0.11262969,0
314,78500,0.1458605,0.1257285,0.1393104,0
315,78750,0.09704508,0.11838859,0.1496617,0
316,79000,0.1354551,0.131215,0.1452601,0
317,79250,0.11230328,0.11359754,0.1627061,0
318,79500,0.11375938,0.1560436,0.1761796,0
319,79750,0.1459115,0.11607713,0.1665902,0
320,80000,0.1123517,0.1652615,0.1585472,0
321,80250,0.1159763,0.12229388,0.11551423,0
322,80500,0.1253531,0.1549613,0.1453124,0
323,80750,0.11920577,0.1620312,0.10837768,0
324,81000,0.1252481,0.1333371,0.1353632,0
325,81250,0.12117677,0.1542416,0.1512494,0
326,81500,0.1272119,0.11111163,0.1395962,0
327,81750,0.11415188,0.1726372,0.12379123,0
328,82000,0.146689,0.11008556,0.12185594,0
329,82250,0.1774898,0.1298119,0.11077839,0
330,82500,0.131048,0.1558137,0.146249,0
331,82750,0.1446237,0.150311,0.11611461,0
332,83000,0.11162841,0.1634338,0.11509167,0
333,83250,0.11194652,0.11371665,0.1448987,0
334,83500,0.09377866,0.11155041,0.1422225,0
335,83750,0.1317744,0.11244699,0.1634379,0
336,84000,0.11283931,0.12166728,0.1262372,0
337,84250,0.1746033,0.1517656,0.1490097,0
338,84500,0.10835324,0.1285729,0.1545116,0
339,84750,0.1710261,0.1492562,0.1335348,0
340,85000,0.1255761,0.1643005,0.1610049,0
341,85250,0.12468091,0.1290729,0.12331531,0
342,85500,0.1371817,0.11940914,0.10249674,0
343,85750,0.1366175,0.154474,0.12073953,0
344,86000,0.11690572,0.1392962,0.11022372,0
345,86250,0.1011992,0.135833,0.10071615,0
346,86500,0.11640728,0.12258601,0.1749242,0
347,86750,0.1451168,0.09970269,0.12385181,0
348,87000,0.1448177,0.1415983,0.1310807,0
349,87250,0.1223568,0.12381136,0.150251,0
350,87500,0.12428239,0.1499859,0.1404425,0
351,87750,0.12836,0.12195246,0.12348061,0
352,88000,0.1524569,0.1315995,0.1586488,0
353,88250,0.1330271,0.11738654,0.1732926,0
354,88500,0.1553165,0.1379066,0.1496266,0
355,88750,0.1347485,0.1541914,0.1233446,0
356,89000,0.1341473,0.1358965,0.1495999,0
357,89250,0.1311675,0.12042513,0.1381965,0
358,89500,0.11975686,0.12341647,0.1514901,0
359,89750,0.11225853,0.11523892,0.136888,0
360,90000,0.1250437,0.1368554,0.12199438,0
361,90250,0.1496996,0.1512836,0.1653855,0
362,90500,0.1328189,0.1432895,0.1538729,0
363,90750,0.10962871,0.1384361,0.1385609,0
364,91000,0.1463862,0.1446359,0.1406282,0
365,91250,0.12292732,0.1327561,0.170053,0
366,91500,0.10078359,0.08531576,0.162882,0
367,91750,0.09358918,0.1536755,0.11920334,0
368,92000,0.12182322,0.1345428,0.1256235,0
369,92250,0.1377194,0.1529544,0.136223,0
370,92500,0.11653467,0.1353711,0.1433442,0
371,92750,0.11098841,0.1374964,0.10460616,0
372,93000,0.1397905,0.1359344,0.1387518,0
373,93250,0.1303762,0.1279057,0.1320688,0
374,93500,0.119142,0.1433403,0.1476926,0
375,93750,0.16354,0.1588841,0.1112517,0
376,94000,0.1281798,0.1265616,0.10382514,0
377,94250,0.10131896,0.10349137,0.1559374,0
378,94500,0.1812426,0.1721689,0.1304995,0
379,94750,0.1307413,0.11470104,0.11723053,0
380,95000,0.1348482,0.12337101,0.12172595,0
381,95250,0.1549473,0.1280603,0.1449115,0
382,95500,0.1415866,0.12426796,0.11707574,0
383,95750,0.1327069,0.1358057,0.1674567,0
384,96000,0.1714931,0.1313355,0.1425248,0
385,96250,0.11648869,0.1378733,0.1254339,0
386,96500,0.10630023,0.1549751,0.1294846,0
387,96750,0.11322793,0.1354549,0.11288662,0
388,97000,0.12050506,0.1270315,0.1692954,0
389,97250,0.164351,0.1309033,0.159203,0
390,97500,0.1705415,0.09969234,0.133134,0
391,97750,0.1277124,0.10785424,0.1485915,0
392,98000,0.11172704,0.11189012,0.11399382,0
393,98250,0.1422277,0.1645822,0.1347238,0
394,98500,0.1439886,0.09920979,0.10389403,0
395,98750,0.10031077,0.1471096,0.1432452,0
396,99000,0.1397981,0.1693986,0.1569774,0
397,99250,0.1485144,0.1565013,0.1375712,0
398,99500,0.1470209,0.1270757,0.10650253,0
399,99750,0.1485563,0.1293565,0.1453134,0
400,100000,0.1270342,0.1612171,0.1471839,0
401,100250,0.1344486,0.11650538,0.11374559,0
402,100500,0.1638296,0.12097227,0.159916,0
403,100750,0.1518901,0.1715511,0.12358768,0
404,101000,0.12289201,0.1511255,0.1411261,0
405,101250,0.1437318,0.1374667,0.1354355,0
406,101500,0.10135201,0.1256956,0.1502985,0
407,101750,0.10840437,0.1326828,0.1450962,0
408,102000,0.10758933,0.1552313,0.11466237,0
